"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"127","ProXR"," 16","209.99","Fiberglass","5.5","Polymer Honeycomb","16","4.25","Elongated","1364","8.0-8.4oz","112","5.61","","https://bit.ly/3bCBq7h","PBSTUDIO to get $20 off","","","","High-end"
"128","ProXR","John Cincola Signature Carbon","209.99","Raw carbon fiber","5.7","Polymer Honeycomb","10.5","4","Elongated","1720","8.2oz","101","5.4","","https://bit.ly/3IAIayV","PBSTUDIO to get $20 off","","The handle is listed as 5.7 inches but the way the handle is designed and the way you hold it, really doesn’t feel like a 5.7 inch handle. Maybe 5.3 inches or so.","","High-end"
"129","ProXR","Zane Signature Carbon 14mm","209.99","Raw carbon fiber","6","Polymer Honeycomb","14","4","Elongated","1688","8.2oz","111","5.67","https://www.youtube.com/watch?v=dGi8Uozxs7c&ab_channel=PickleballStudio","http://bit.ly/3zc2hPP","PBSTUDIO to get $20 off","PBSTUDIO","","$20","High-end"
"130","PikNinja","Revenant","169.95","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.375","Elongated","1640","7.8-8.3oz","120","6.29","","https://bit.ly/40ymBaC","","","","","High-end"
"131","PCKL","Power Series","89.99","Carbon Fiber","5","Polymer Honeycomb","10","4.25","Standard","1528","7.9oz","103","6.65","","https://bit.ly/3P7z1RG","","","","","Midrange"
"132","PCKL","Pro  Series","119.99","Carbon Fiber","4.7","Polymer Honeycomb","13","4.25","Elongated","1043","7.8oz","114","6.47","","https://bit.ly/3PtiA3o","","PBSTUDIO","","10%","Midrange"
"133","ProDrive","Drive","199","Carbon Fiber","5","Polymer Honeycomb, kevlar","19","4.125","Elongated","1485","8.5oz","130","7.26","","https://bit.ly/3KMIPOu","","","This paddle is basically identical to the Diadem Warrior. All of the specs are the same except instead of nomex in the core, it’s kevlar. It does play slightly more powerful than the Warrior though. I would say this paddle is if like Diadem created a control and power version of the Warrior. The Pro Drive being the power verison.","","High-end"
"134","ProDrive","Drive Carbon","199","Raw carbon fiber","5","Polymer Honeycomb, kevlar","19","4.25","Elongated","1798","8.5oz","132","7.56","","https://bit.ly/44KjiOr","","","","","High-end"
"135","ProDrive","Ghost","189","Raw carbon fiber","5.5","kevlar","16","4.125","Elongated","1740","8.0oz","114","6.59","","https://bit.ly/3PtxVB1","","","","","High-end"
"136","Ronbus","R1.16","120","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","2120","8.2oz","117","6.19","","http://bit.ly/3SWHI2H","PBSTUDIO to save $20","PBSTUDIO","","$20","Midrange"
"137","Ronbus","Nova.R1","180","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.125","Elongated","1805","7.8-8.0oz","114","5.81","https://www.youtube.com/watch?v=a4t4pDSYLdk&ab_channel=PickleballStudio","https://bit.ly/3PrARy6","PBSTUDIO to save $20","","","","High-end"
"138","Ronbus","R1 Pulsar (5.25” handle)","169.99","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.125","Hybrid","2006","7.9-8.3oz","113","6.19","https://www.youtube.com/watch?v=mymFwG8_HYA&t=60s","https://bit.ly/45IHkub","PBSTUDIO to save $20","","","","High-end"
"139","Ronbus","R1 Pulsar (5.5” handle)","169.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.125","Elongated","","7.9-8.3oz","117","6.22","","https://bit.ly/45IHkub","PSTUDIO to save $20","","","","High-end"
"140","Ronbus","R3 Pulsar","169.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.125","Elongated","2076","7.9-8.3oz","124","6.39","https://www.youtube.com/watch?v=mymFwG8_HYA&t=60s","https://bit.ly/3ZaslqC","PBSTUDIO to save $20","","","","High-end"
"141","Rokne","Curve Classic","89.99","Fiberglass","5.5","Polymer Honeycomb","13","4.25","Elongated","1355","8.0-8.5oz","123","","","https://bit.ly/3HlC8lX","","","","","Midrange"
"142","Rokne"," X","179.99","Carbon Fiber","5.25","Polymer Honeycomb","16","4.25","Elongated","1454","7.6-8.1oz","109","","","https://bit.ly/3HlC8lX","","","I can't say for certain yet, but this feels very similar to the spray on Franklin grit. So I expect this to fade noticeably over time.","","High-end"
"143","Revolin","Revo Pure Control","189.99","Composite","5.25","Polymer Honeycomb","16","4.25","Standard","1151","7.7-8.2oz","108","6.83","https://www.youtube.com/watch?v=C1-XHBDD_Hc&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=31","http://bit.ly/3QVleOF","PBSTUDIO 10% OFF","PBSTUDIO","","10%","High-end"
"144","Spartus","Ballista","159.99","Carbon Fiber","5.4","Polymer Honeycomb","16","4.25","Elongated","1863","8.0oz","110","5.66","","https://bit.ly/3QsJvNE","PBSTUDIO 10% OFF","","","","High-end"
"145","Spartus","Gladius 16","109.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.3","Elongated","1791","7.9oz","125","6.19","","https://bit.ly/3QhKPmv","PBSTUDIO 10% OFF","PBSTUDIO","","10%","Midrange"
